Modelo,Accuracy,F1_score,Recall
SVM Lineal C=0.1,0.6351 ± 0.0715,0.6300 ± 0.0741,0.6351 ± 0.0715
SVM Lineal C=1.0,0.7237 ± 0.0725,0.7148 ± 0.0798,0.7237 ± 0.0725
SVM Lineal C=10,0.7175 ± 0.0692,0.7076 ± 0.0755,0.7175 ± 0.0692
SVM RBF C=1.0,0.4867 ± 0.0389,0.4410 ± 0.0391,0.4867 ± 0.0389
SVM RBF C=10,0.6758 ± 0.0834,0.6622 ± 0.0878,0.6758 ± 0.0834
SVM Polinomial g2 C=1,0.1234 ± 0.0629,0.0967 ± 0.0570,0.1234 ± 0.0629
SVM Polinomial g3 C=1,0.4494 ± 0.0836,0.3758 ± 0.1015,0.4494 ± 0.0836
SVM Sigmoid C=1,0.3967 ± 0.0640,0.2891 ± 0.0623,0.3967 ± 0.0640
k-NN k=1,0.5835 ± 0.0753,0.5676 ± 0.0788,0.5835 ± 0.0753
k-NN k=3,0.6078 ± 0.0806,0.5855 ± 0.0884,0.6078 ± 0.0806
k-NN k=5,0.5657 ± 0.0879,0.5299 ± 0.0969,0.5657 ± 0.0879
k-NN k=7,0.5821 ± 0.1009,0.5516 ± 0.1117,0.5821 ± 0.1009
k-NN k=9,0.5516 ± 0.1028,0.5238 ± 0.1097,0.5516 ± 0.1028
k-NN k=11,0.5857 ± 0.0791,0.5574 ± 0.0813,0.5857 ± 0.0791
Árbol prof. 2,0.4999 ± 0.0746,0.4764 ± 0.0865,0.4999 ± 0.0746
Árbol prof. 4,0.4751 ± 0.0907,0.4498 ± 0.0962,0.4751 ± 0.0907
Árbol prof. 6,0.5353 ± 0.0948,0.5242 ± 0.0989,0.5353 ± 0.0948
Árbol prof. 8,0.5297 ± 0.1019,0.5163 ± 0.1105,0.5297 ± 0.1019
Árbol prof. 10,0.5247 ± 0.1020,0.5113 ± 0.1107,0.5247 ± 0.1020
Árbol prof. 12,0.5247 ± 0.1020,0.5113 ± 0.1107,0.5247 ± 0.1020
RNA 4,0.6648 ± 0.0674,0.6535 ± 0.0724,0.6648 ± 0.0674
RNA 8,0.7155 ± 0.0445,0.7086 ± 0.0507,0.7155 ± 0.0445
RNA 16,0.7124 ± 0.0599,0.7035 ± 0.0722,0.7124 ± 0.0599
RNA 4-4,0.6251 ± 0.0682,0.5920 ± 0.0724,0.6251 ± 0.0682
RNA 8-4,0.6462 ± 0.1231,0.6188 ± 0.1356,0.6462 ± 0.1231
RNA 16-8,0.7413 ± 0.0601,0.7348 ± 0.0669,0.7413 ± 0.0601
RNA 32,0.7312 ± 0.0903,0.7219 ± 0.1038,0.7312 ± 0.0903
RNA 32-16,0.7308 ± 0.0871,0.7240 ± 0.0993,0.7308 ± 0.0871
DoME maxNodes=5,0.5389 ± 0.0755,0.4897 ± 0.0716,0.5389 ± 0.0755
DoME maxNodes=10,0.6073 ± 0.1094,0.5921 ± 0.1202,0.6073 ± 0.1094
DoME maxNodes=15,0.6200 ± 0.1076,0.6051 ± 0.1119,0.6200 ± 0.1076
DoME maxNodes=20,0.6103 ± 0.1337,0.5938 ± 0.1298,0.6103 ± 0.1337
DoME maxNodes=25,0.6540 ± 0.1118,0.6401 ± 0.1096,0.6540 ± 0.1118
DoME maxNodes=30,0.6577 ± 0.0661,0.6417 ± 0.0659,0.6577 ± 0.0661
DoME maxNodes=35,0.6468 ± 0.0913,0.6346 ± 0.0867,0.6468 ± 0.0913
DoME maxNodes=40,0.6519 ± 0.0873,0.6371 ± 0.0884,0.6519 ± 0.0873
